               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.019315,            0.014176,           0.0053825,             0.96754,             0.96686,             0.98245,             0.81351,            0.013639,           0.0087364,           0.0025109,             0.00571,             0.00571,             0.00571
                 132,             0.01932,            0.014077,           0.0055857,             0.96522,               0.964,             0.98196,             0.81532,            0.013901,           0.0086713,           0.0023027,            0.005677,            0.005677,            0.005677
                 133,             0.01912,            0.014063,           0.0053778,             0.96406,             0.97124,             0.98199,             0.81564,            0.013582,           0.0086756,           0.0026597,            0.005644,            0.005644,            0.005644
                 134,            0.019132,             0.01393,           0.0058632,             0.96473,             0.97388,             0.98539,             0.81425,            0.014237,           0.0087896,           0.0023682,            0.005611,            0.005611,            0.005611
                 135,            0.019141,            0.014125,           0.0057574,             0.96838,              0.9684,               0.982,             0.81481,            0.013699,           0.0090812,           0.0024591,            0.005578,            0.005578,            0.005578
                 136,            0.019245,            0.013916,           0.0055016,             0.97103,             0.96909,             0.98331,             0.80751,            0.014083,            0.009042,           0.0023074,            0.005545,            0.005545,            0.005545
                 137,            0.019537,            0.013841,           0.0057969,             0.96827,             0.96245,             0.98343,             0.81108,            0.013573,           0.0090232,           0.0023661,            0.005512,            0.005512,            0.005512
                 138,            0.019188,            0.013808,           0.0052112,             0.96444,             0.96625,             0.97738,             0.81505,            0.013508,           0.0087056,           0.0024676,            0.005479,            0.005479,            0.005479
                 139,            0.018861,            0.013804,           0.0045973,              0.9665,             0.96228,              0.9814,             0.80965,            0.013147,           0.0087778,           0.0024069,            0.005446,            0.005446,            0.005446
                 140,            0.018793,            0.014107,           0.0054508,             0.95459,             0.97224,             0.98174,              0.8127,            0.013324,           0.0087514,              0.0027,            0.005413,            0.005413,            0.005413
                 141,            0.018832,            0.013862,           0.0049661,             0.96979,              0.9642,             0.98663,             0.81837,             0.01274,           0.0089275,           0.0022121,             0.00538,             0.00538,             0.00538
                 142,            0.018784,            0.013609,           0.0049074,             0.96214,             0.96489,             0.98258,             0.81299,             0.01334,           0.0089762,           0.0023512,            0.005347,            0.005347,            0.005347
                 143,            0.018743,            0.013572,           0.0046336,             0.97111,             0.94891,             0.98077,             0.81656,            0.012919,           0.0086939,           0.0027043,            0.005314,            0.005314,            0.005314
                 144,             0.01902,            0.013547,           0.0049475,             0.96259,             0.97875,             0.98489,             0.81717,            0.013229,           0.0088003,           0.0021642,            0.005281,            0.005281,            0.005281
                 145,            0.018983,            0.013704,           0.0053958,             0.96334,             0.97481,             0.98351,             0.80886,            0.013643,           0.0089504,           0.0026559,            0.005248,            0.005248,            0.005248
                 146,            0.018821,            0.013965,           0.0050125,             0.96745,             0.95966,             0.98265,             0.81103,            0.013467,           0.0088629,           0.0025356,            0.005215,            0.005215,            0.005215
                 147,            0.018755,             0.01362,           0.0049359,             0.96815,             0.96471,             0.97976,             0.81413,            0.013585,           0.0088493,           0.0023925,            0.005182,            0.005182,            0.005182
                 148,            0.018794,            0.013532,           0.0051395,              0.9689,             0.95209,             0.98207,             0.81168,            0.013914,           0.0091642,           0.0024985,            0.005149,            0.005149,            0.005149
                 149,            0.018411,            0.013529,           0.0050043,             0.96516,             0.96872,             0.98369,             0.81142,            0.014126,           0.0088093,           0.0023583,            0.005116,            0.005116,            0.005116
                 150,            0.019587,            0.013654,           0.0051945,             0.97172,             0.96202,             0.98282,              0.8177,            0.013786,           0.0087431,           0.0023074,            0.005083,            0.005083,            0.005083
                 151,            0.019058,              0.0135,           0.0056041,             0.95967,             0.97147,             0.98401,              0.8241,            0.013224,           0.0087536,            0.002463,             0.00505,             0.00505,             0.00505
                 152,            0.019086,            0.013718,           0.0056794,             0.95925,             0.96514,             0.97668,             0.81184,            0.013226,           0.0089227,           0.0027129,            0.005017,            0.005017,            0.005017
                 153,            0.018586,             0.01363,           0.0046577,              0.9618,             0.97094,             0.98511,             0.82044,            0.013577,           0.0087223,           0.0024214,            0.004984,            0.004984,            0.004984
                 154,            0.018511,             0.01335,           0.0051271,             0.96053,             0.96962,             0.98231,             0.81764,            0.013835,           0.0087743,           0.0024588,            0.004951,            0.004951,            0.004951
                 155,            0.018503,            0.013793,            0.005471,              0.9577,             0.97479,             0.98441,             0.81836,            0.013744,            0.008799,           0.0027385,            0.004918,            0.004918,            0.004918
                 156,             0.01831,            0.013315,           0.0044443,             0.95971,             0.96554,             0.97773,             0.81267,            0.013607,            0.008944,           0.0024861,            0.004885,            0.004885,            0.004885
                 157,            0.018324,            0.013102,            0.004932,             0.95831,             0.96788,             0.97928,             0.81198,            0.013315,           0.0088767,            0.002602,            0.004852,            0.004852,            0.004852
                 158,            0.017996,            0.013096,           0.0047462,             0.97494,             0.95858,             0.98498,             0.81411,            0.013849,           0.0087475,           0.0023678,            0.004819,            0.004819,            0.004819
